code,product_name,quantity,brand,categories,ingredients,image_url,nutriscore_grade,energy_100g,fat_100g,saturated_fat_100g,proteins_100g,carbohydrates_100g,sugars_100g,fiber_100g,sodium_100g
8717660000005,Лук Шалот 500г,500 GRAM,NO BRAND,Хранителни стоки > Плодове и зеленчуци > Зеленчуци > Луковици,,https://cdn.metro-group.com/bg/bg_pim_149809001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800213000043,Boshkilov Вино Мерло червено 3л,3000 GRAM,BOSHKILOV,Хранителни стоки > Напитки > Вино > Червено вино,Сулфити,https://cdn.metro-group.com/bg/bg_pim_179839001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800202644593,КФМ Шунка виенска слайс 120г,120 GRAM,КФМ,"Хранителни стоки > Колбаси > Шунка, бекон и деликатеси > Шунка",Премиум шунка от пресен свински бут почистен от мазнини стабилизатор полифосфат антиоксидант натриев аскорбат и консервираща нитритна сол. Натурален продукт без заместители на месо ГМО и ГЛУТЕН.,https://cdn.metro-group.com/bg/bg_pim_315934001001_02.png?format=jpg&quality=80&dpi=72,,376.0,1.0,,,1.0,,,
8005110551390,MUTTI Пица сос класик 5кг,5000 GRAM,MUTTI,Хранителни стоки > Консерви > Зеленцучи > Домати,"Домати 99.3%, сол",https://cdn.metro-group.com/bg/bg_pim_263145001001_01.png?format=jpg&quality=80&dpi=72,,169.0,,,,,,,
2864110000002,Карфиол свеж,1000 GRAM,NO BRAND,"Хранителни стоки > Плодове и зеленчуци > Зеленчуци > Зеле, карфиол и броколи",,https://cdn.metro-group.com/bg/bg_pim_143758001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
5012523233129,Tia Maria Ликьор 700мл,700 GRAM,TIA MARIA,Хранителни стоки > Напитки > Високоалкохолни напитки > Ликьор,Вода захар алкохол кафеен екстракт ( 10% ) глюкозен сироп ром овкусители оцветител Е 150b окислител Е 330.,https://cdn.metro-group.com/bg/bg_pim_38523001001_02.png?format=jpg&quality=80&dpi=72,,,,,,,,,
8718117106691,Aptamil 2 Преходно мляко 800гр,800 GRAM,APTAMIL,Хранителни стоки > За бебето и детето > Мляко,"Лaĸтoзa (oт ĸpaвe МЛЯКО), pacтитeлни мacлa (пaлмoвo мacлo, ĸoĸocoвo мacлo, paпичнo oлиo, cлънчoглeдoвo oлиo, виcoĸo oлeинoвo cлънчoглeдoвo oлиo), oбeзмacлeнo МЛЯКО, дeминepaлизиpaнa cypoвaтĸa (oт ĸpaвe МЛЯКО), гaлaĸтo- oлигoзaxapиди (oт ĸpaвe МЛЯКО), cypoвaтъчeн ĸoнцeнтpaт (oт ĸpaвe МЛЯКО), фpyĸтo-oлигoзaxapиди, ĸaлциeв фocфaт, РИБЕНО мacлo, cypoвaтъчeн пpoтeин (oт ĸpaвe МЛЯКО), ĸaлиeв xлopид, ĸaлиeв цитpaт, мaгнeзиeв xидpoгeн фocфaт, oлиo oт Моrtіеrеllа Аlріnа, ĸaлциeв ĸapбoнaт, xoлин xлopид, нaтpиeв цитpaт, L-acĸopбинoвa ĸиceлинa, СОЕВ лeцитин, нaтpиeв xлopид, тaypин, инoзитoл, мaгнeзиeв xлopид, жeлeзeн cyлфaт, L-тpиптoфaн, нaтpиeв L-acĸopбaт, L-ĸapнитин, цинĸoв cyлфaт, цитидин 5-мoнoфocфaт, ypидин 5-мoнoфocфaт нaтpиeвa coл, acĸopбил пaлмитaт, aдeнoзин 5-мoнoфocфaт, инoзин 5-мoнoфocфaт нaтpиeвa coл, ниĸoтинaмид, ĸaлций D-пaнтoтeнaт, DL-aлфa тoĸoфepил aцeтaт, гyaнoзин 5-мoнoфocфaт нaтpиeвa coл, мeдeн cyлфaт, DL-aлфa тoĸoфepoл, peтинил пaлмитaт pибoфлaвин, тиaмин xидpoxлopид, пиpидoĸcин xидpoxлopид, ĸaлиeв йoдид, птepoилмoнoглyтaминoвa ĸиceлинa, мaнгaнoв cyлфaт, фитoмeнaдиoн, нaтpиeв ceлeнит, xoлeĸaлцифepoл, D-биoтин, циaнoĸoбaлaмин, съдържа влакнини 0. 6г в 100г продукт.",https://cdn.metro-group.com/bg/bg_pim_292351001001_01.png?format=jpg&quality=80&dpi=72,,285.0,,,,,,,
3800065783484,VARNA Мини вафли с какао и мляко 260г,260 GRAM,VARNA,Хранителни стоки > Захарни и солени изделия > Вафли,"МЛЕЧЕН крем 75 % (захар, растителна палмова мазнина, суха суроватка 11. 1 %, сухо пълномаслено МЛЯКО 8. 4 %, кокосова мазнина, кокосови стърготини, модифицирано картофено нишесте, емулгатор: СОЕВ лецитин, ароматизант: МЛЯКО), ПШЕНИЧНО брашно, какао прах, оцветител карамел, малцов екстракт, растителна палмова мазнина, емулгатор: СОЕВ лецитин, трапезна сол, набухватели:натриев бикарбонат, амониев бикарбонат, оцветител: Е163.",https://cdn.metro-group.com/bg/bg_pim_311401002001_01.png?format=jpg&quality=80&dpi=72,,548.0,31.0,16.0,,60.0,35.0,,
3800849215460,METRO Chef Сирене за печене и пържене 400 г,400 GRAM,METRO CHEF,Хранителни стоки > Млечни продукти и яйца > Сирене и кашкавал > Сирене | Хранителни стоки > Нашите марки > Млечни Продукти и Яйца > Сирене и Кашкавал > Сирене,МЛЯКО калциев двухлорид мая сол,https://cdn.metro-group.com/bg/bg_pim_341443001001_01.png?format=jpg&quality=80&dpi=72,,1235.0,24.0,,19.0,,,,
3800500071596,ВИТА ПРИМА Соеви кълнове 500 г,500 GRAM,BИТА ПРИМА,Хранителни стоки > Плодове и зеленчуци > Зеленчуци > Други зеленчуци,,https://cdn.metro-group.com/bg/bg_pim_113180001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
